Date,SEK
2020-04-14,9.9509
2020-04-13,10.0117
2020-04-10,9.9407
2020-04-09,9.9497
2020-04-08,10.0758
2020-04-07,10.0478
2020-04-06,10.1258
2020-04-03,10.1947
2020-04-02,10.0999
2020-04-01,10.0119
2020-03-31,9.9052
2020-03-30,10.0339
2020-03-27,9.8893
2020-03-26,9.9755
2020-03-25,10.1127
2020-03-24,10.1377
2020-03-23,10.3491
2020-03-20,10.3899
2020-03-19,10.4167
2020-03-18,10.2647
2020-03-17,9.8833
2020-03-16,9.7717
2020-03-13,9.7097
2020-03-12,9.7546
2020-03-11,9.5219
2020-03-10,9.5206
2020-03-09,9.4345
2020-03-06,9.3993
2020-03-05,9.4335
2020-03-04,9.4782
2020-03-03,9.4738
2020-03-02,9.5383
2020-02-28,9.605
2020-02-27,9.6586
2020-02-26,9.735
2020-02-25,9.7152
2020-02-24,9.7334
2020-02-21,9.7178
2020-02-20,9.8155
2020-02-19,9.7864
2020-02-18,9.7861
2020-02-17,9.69
2020-02-14,9.7231
2020-02-13,9.6737
2020-02-12,9.634
2020-02-11,9.6379
2020-02-10,9.6618
2020-02-07,9.659
2020-02-06,9.623
2020-02-05,9.5881
2020-02-04,9.589
2020-02-03,9.6492
2020-01-31,9.6248
2020-01-30,9.6358
2020-01-29,9.6199
2020-01-28,9.6088
2020-01-27,9.6239
2020-01-24,9.5684
2020-01-23,9.5324
2020-01-22,9.5058
2020-01-21,9.5256
2020-01-20,9.5184
2020-01-17,9.5178
2020-01-16,9.4888
2020-01-15,9.4645
2020-01-14,9.4634
2020-01-13,9.466
2020-01-10,9.5009
2020-01-09,9.4916
2020-01-08,9.4608
2020-01-07,9.4548
2020-01-06,9.4015
2020-01-03,9.3994
2020-01-02,9.3633
2020-01-01,9.3648
2019-12-31,9.365
2019-12-30,9.3488
2019-12-27,9.3366
2019-12-26,9.4125
2019-12-25,9.4277
2019-12-24,9.423
2019-12-23,9.4313
2019-12-20,9.4034
2019-12-19,9.4113
2019-12-18,9.4229
2019-12-17,9.3807
2019-12-16,9.3619
2019-12-13,9.3981
2019-12-12,9.3948
2019-12-11,9.4005
2019-12-10,9.4988
2019-12-09,9.5344
