Date,Open,High,Low,Close,Adj Close,Volume
2018-04-26,8.556300,8.664500,8.527770,8.555460,8.555460,0
2018-04-27,8.656690,8.738840,8.641000,8.654340,8.654340,0
2018-04-30,8.671610,8.768210,8.647300,8.669850,8.669850,0
2018-05-01,8.745490,8.868380,8.737200,8.742200,8.742200,0
2018-05-02,8.839560,8.930940,8.819510,8.841430,8.841430,0
2018-05-03,8.915870,8.916790,8.831820,8.914200,8.914200,0
2018-05-04,8.808240,8.860910,8.795200,8.805100,8.805100,0
2018-05-07,8.810900,8.861230,8.786400,8.813520,8.813520,0
2018-05-08,8.828340,8.851870,8.789570,8.824800,8.824800,0
2018-05-09,8.807300,8.853540,8.679900,8.806400,8.806400,0
2018-05-10,8.704400,8.710440,8.611430,8.708700,8.708700,0
2018-05-11,8.644200,8.662520,8.567860,8.646790,8.646790,0
2018-05-14,8.586770,8.615260,8.567800,8.586810,8.586810,0
2018-05-15,8.634900,8.755840,8.606090,8.638700,8.638700,0
2018-05-16,8.694940,8.759270,8.668400,8.694190,8.694190,0
2018-05-17,8.693100,8.753790,8.678200,8.695100,8.695100,0
2018-05-18,8.739440,8.766000,8.716020,8.736900,8.736900,0
2018-05-21,8.761120,8.781070,8.691810,8.758840,8.758840,0
2018-05-22,8.673990,8.703790,8.636000,8.673600,8.673600,0
2018-05-23,8.681240,8.801960,8.679100,8.680770,8.680770,0
2018-05-24,8.747450,8.771050,8.720490,8.746550,8.746550,0
2018-05-25,8.761420,8.785480,8.674370,8.758900,8.758900,0
2018-05-28,8.739890,8.821360,8.710600,8.734800,8.734800,0
2018-05-29,8.823500,8.972280,8.806700,8.822400,8.822400,0
2018-05-30,8.970310,8.986030,8.797110,8.968930,8.968930,0
2018-05-31,8.809310,8.850370,8.747200,8.811970,8.811970,0
2018-06-01,8.811890,8.871070,8.774810,8.812470,8.812470,0
2018-06-04,8.817900,8.817900,8.733630,8.814700,8.814700,0
2018-06-05,8.753960,8.791340,8.731420,8.750900,8.750900,0
2018-06-06,8.740410,8.751280,8.702600,8.740800,8.740800,0
2018-06-07,8.724740,8.725380,8.652500,8.723000,8.723000,0
2018-06-08,8.702200,8.772730,8.689500,8.703780,8.703780,0
2018-06-11,8.697780,8.714710,8.643600,8.694900,8.694900,0
2018-06-12,8.667740,8.687900,8.591400,8.663000,8.663000,0
2018-06-13,8.636210,8.652530,8.598500,8.634000,8.634000,0
2018-06-14,8.604520,8.720000,8.577650,8.605500,8.605500,0
2018-06-15,8.748090,8.820770,8.733400,8.744800,8.744800,0
2018-06-18,8.796700,8.869470,8.794800,8.798100,8.798100,0
2018-06-19,8.817670,8.948890,8.806170,8.816410,8.816410,0
2018-06-20,8.890260,8.925670,8.860000,8.890750,8.890750,0
2018-06-21,8.875400,8.947760,8.869710,8.877460,8.877460,0
2018-06-22,8.887530,8.890710,8.825760,8.888340,8.888340,0
2018-06-25,8.856200,8.915720,8.849000,8.859150,8.859150,0
2018-06-26,8.842520,8.873850,8.819970,8.844490,8.844490,0
2018-06-27,8.878800,8.939600,8.872700,8.877260,8.877260,0
2018-06-28,8.972150,9.035300,8.957900,8.968500,8.968500,0
2018-06-29,9.030330,9.031290,8.925000,9.031330,9.031330,0
2018-07-02,8.953870,9.027890,8.953700,8.948100,8.948100,0
2018-07-03,8.963300,8.978630,8.817400,8.961190,8.961190,0
2018-07-04,8.831100,8.832260,8.765100,8.830760,8.830760,0
2018-07-05,8.780340,8.797260,8.728000,8.777560,8.777560,0
2018-07-06,8.763700,8.791750,8.716790,8.766910,8.766910,0
2018-07-09,8.718480,8.751490,8.679800,8.715500,8.715500,0
2018-07-10,8.714930,8.771200,8.707570,8.715330,8.715330,0
2018-07-11,8.748220,8.788390,8.738320,8.750550,8.750550,0
2018-07-12,8.816510,8.881720,8.774560,8.813900,8.813900,0
2018-07-13,8.875400,8.935310,8.856160,8.873970,8.873970,0
2018-07-16,8.892870,8.892870,8.808800,8.889700,8.889700,0
2018-07-17,8.816170,8.830450,8.771100,8.817980,8.817980,0
2018-07-18,8.841000,8.885320,8.833500,8.839000,8.839000,0
2018-07-19,8.857700,8.953020,8.846400,8.861160,8.861160,0
2018-07-20,8.896480,8.926170,8.857000,8.897200,8.897200,0
2018-07-23,8.844560,8.859100,8.827300,8.843200,8.843200,0
2018-07-24,8.858440,8.890730,8.805500,8.858420,8.858420,0
2018-07-25,8.820710,8.829700,8.777400,8.819950,8.819950,0
2018-07-26,8.745140,8.808190,8.737570,8.745960,8.745960,0
2018-07-27,8.807100,8.866900,8.794890,8.809920,8.809920,0
2018-07-30,8.830300,8.846450,8.747070,8.832870,8.832870,0
2018-07-31,8.751750,8.794600,8.734700,8.752760,8.752760,0
2018-08-01,8.789400,8.822340,8.783200,8.787000,8.787000,0
2018-08-02,8.805780,8.876260,8.797800,8.802560,8.802560,0
