Date,BTC
2019-07-20,10767.13965
2019-07-21,10599.10547
2019-07-22,10343.10645
2019-07-23,9900.767578
2019-07-24,9811.925781
2019-07-25,9911.841797
2019-07-26,9870.303711
2019-07-27,9477.677734
2019-07-28,9552.860352
2019-07-29,9519.145508
2019-07-30,9607.423828
2019-07-31,10085.62793
2019-08-01,10399.66895
2019-08-02,10518.17481
2019-08-03,10821.72656
2019-08-04,10970.18457
2019-08-05,11805.65332
2019-08-06,11478.16895
2019-08-07,11941.96875
2019-08-08,11966.40723
2019-08-09,11862.93652
2019-08-10,11354.02441
2019-08-11,11523.5791
2019-08-12,11382.61621
2019-08-13,10895.83008
2019-08-14,10051.7041
2019-08-15,10311.5459
2019-08-16,10374.33887
2019-08-17,10231.74414
2019-08-18,10345.81055
2019-08-19,10916.05371
2019-08-20,10763.23242
2019-08-21,10138.04981
2019-08-22,10131.05566
2019-08-23,10407.96484
2019-08-24,10159.96094
2019-08-25,10138.51758
2019-08-26,10370.82031
2019-08-27,10185.5
2019-08-28,9754.422852
2019-08-29,9510.200195
2019-08-30,9598.173828
2019-08-31,9630.664063
2019-09-01,9757.970703
2019-09-02,10346.76074
2019-09-03,10623.54004
2019-09-04,10594.49316
2019-09-05,10575.5332
2019-09-06,10353.30273
2019-09-07,10517.25488
2019-09-08,10441.27637
2019-09-09,10334.97461
2019-09-10,10115.97559
2019-09-11,10178.37207
2019-09-12,10410.12695
2019-09-13,10360.54688
2019-09-14,10358.04883
2019-09-15,10347.71289
2019-09-16,10276.79395
2019-09-17,10241.27246
2019-09-18,10198.24805
2019-09-19,10266.41504
2019-09-20,10181.6416
2019-09-21,10019.7168
2019-09-22,10070.39258
2019-09-23,9729.324219
2019-09-24,8620.566406
2019-09-25,8486.993164
2019-09-26,8118.967773
2019-09-27,8251.845703
2019-09-28,8245.915039
2019-09-29,8104.185547
2019-09-30,8293.868164
2019-10-01,8343.276367
2019-10-02,8393.041992
2019-10-03,8259.992188
2019-10-04,8205.939453
2019-10-05,8151.500488
2019-10-06,7988.155762
2019-10-07,8245.623047
2019-10-08,8228.783203
2019-10-09,8595.740234
2019-10-10,8586.473633
2019-10-11,8321.756836
2019-10-12,8336.555664
2019-10-13,8321.005859
2019-10-14,8374.686523
2019-10-15,8205.369141
2019-10-16,8047.526855
2019-10-17,8103.911133
2019-10-18,7973.20752
2019-10-19,7988.560547
2019-10-20,8222.078125
2019-10-21,8243.720703
2019-10-22,8078.203125
2019-10-23,7514.671875
2019-10-24,7493.48877
2019-10-25,8660.700195
2019-10-26,9244.972656
2019-10-27,9551.714844
2019-10-28,9256.148438
2019-10-29,9427.6875
2019-10-30,9205.726563
2019-10-31,9199.584961
2019-11-01,9261.104492
2019-11-02,9324.717773
2019-11-03,9235.354492
2019-11-04,9412.612305
2019-11-05,9342.527344
2019-11-06,9360.879883
2019-11-07,9267.561523
2019-11-08,8804.880859
2019-11-09,8813.582031
2019-11-10,9055.526367
2019-11-11,8757.788086
2019-11-12,8815.662109
2019-11-13,8808.262695
2019-11-14,8708.094727
2019-11-15,8491.992188
2019-11-16,8550.760742
2019-11-17,8577.975586
2019-11-18,8309.286133
2019-11-19,8206.145508
2019-11-20,8027.268066
2019-11-21,7642.75
2019-11-22,7296.577637
2019-11-23,7397.796875
2019-11-24,7047.916992
2019-11-25,7146.133789
2019-11-26,7218.371094
2019-11-27,7531.663574
2019-11-28,7463.105957
2019-11-29,7761.243652
2019-11-30,7569.629883
2019-12-01,7424.29248
2019-12-02,7321.988281
2019-12-03,7320.145508
2019-12-04,7252.034668
2019-12-05,7448.307617
2019-12-06,7546.996582
2019-12-07,7556.237793
2019-12-08,7564.345215
2019-12-09,7400.899414
2019-12-10,7278.119629
2019-12-11,7217.427246
2019-12-12,7243.134277
2019-12-13,7269.68457
2019-12-14,7124.673828
2019-12-15,7152.301758
2019-12-16,6932.480469
2019-12-17,6640.515137
2019-12-18,7276.802734
2019-12-19,7202.844238
2019-12-20,7218.816406
2019-12-21,7191.158691
2019-12-22,7511.588867
2019-12-23,7355.628418
2019-12-24,7322.532227
2019-12-25,7275.155762
2019-12-26,7238.966797
2019-12-27,7290.088379
2019-12-28,7317.990234
2019-12-29,7422.652832
2019-12-30,7292.995117
2019-12-31,7193.599121
2020-01-01,7200.174316
2020-01-02,6985.470215
2020-01-03,7344.884277
2020-01-04,7410.656738
2020-01-05,7411.317383
2020-01-06,7769.219238
2020-01-07,8163.692383
2020-01-08,8079.862793
2020-01-09,7879.071289
2020-01-10,8166.554199
2020-01-11,8037.537598
2020-01-12,8192.494141
2020-01-13,8144.194336
2020-01-14,8827.764648
2020-01-15,8807.010742
2020-01-16,8723.786133
2020-01-17,8929.038086
2020-01-18,8942.808594
2020-01-19,8706.245117
2020-01-20,8657.642578
2020-01-21,8745.894531
2020-01-22,8680.875977
2020-01-23,8406.515625
2020-01-24,8445.43457
2020-01-25,8367.847656
2020-01-26,8596.830078
2020-01-27,8909.819336
2020-01-28,9358.589844
2020-01-29,9316.629883
2020-01-30,9508.993164
2020-01-31,9350.529297
2020-02-01,9392.875
2020-02-02,9344.365234
2020-02-03,9293.521484
2020-02-04,9180.962891
2020-02-05,9613.423828
2020-02-06,9729.801758
2020-02-07,9795.943359
2020-02-08,9865.119141
2020-02-09,10116.67383
2020-02-10,9856.611328
2020-02-11,10208.23633
2020-02-12,10326.05469
2020-02-13,10214.37988
2020-02-14,10312.11621
2020-02-15,9889.424805
2020-02-16,9934.433594
2020-02-17,9690.142578
2020-02-18,10141.99609
2020-02-19,9633.386719
2020-02-20,9608.475586
2020-02-21,9686.441406
2020-02-22,9663.181641
2020-02-23,9924.515625
2020-02-24,9650.174805
2020-02-25,9341.705078
2020-02-26,8820.522461
2020-02-27,8784.494141
2020-02-28,8672.455078
2020-02-29,8599.508789
2020-03-01,8562.454102
2020-03-02,8869.669922
2020-03-03,8787.786133
2020-03-04,8755.246094
2020-03-05,9078.762695
2020-03-06,9122.545898
2020-03-07,8909.954102
2020-03-08,8108.116211
2020-03-09,7923.644531
2020-03-10,7909.729492
2020-03-11,7911.430176
2020-03-12,4970.788086
2020-03-13,5563.707031
2020-03-14,5200.366211
2020-03-15,5392.314941
2020-03-16,5014.47998
2020-03-17,5225.629395
2020-03-18,5238.438477
2020-03-19,6191.192871
2020-03-20,6198.77832
2020-03-21,6185.066406
2020-03-22,5830.254883
2020-03-23,6416.314941
2020-03-24,6734.803711
2020-03-25,6681.062988
2020-03-26,6716.44043
2020-03-27,6469.79834
2020-03-28,6242.193848
2020-03-29,5922.042969
2020-03-30,6429.841797
2020-03-31,6438.644531
2020-04-01,6606.776367
2020-04-02,6793.624512
2020-04-03,6733.387207
2020-04-04,6867.527344
2020-04-05,6791.129395
2020-04-06,7271.78125
2020-04-07,7176.414551
2020-04-08,7334.098633
2020-04-09,7302.089355
2020-04-10,6865.493164
2020-04-11,6859.083008
2020-04-12,6971.091797
2020-04-13,6845.037598
2020-04-14,6842.427734
2020-04-15,6642.109863
2020-04-16,7116.804199
2020-04-17,7096.18457
2020-04-18,7257.665039
2020-04-19,7189.424805
2020-04-20,6881.958496
2020-04-21,6880.323242
2020-04-22,7117.20752
2020-04-23,7429.724609
2020-04-24,7550.900879
2020-04-25,7569.936035
2020-04-26,7679.867188
2020-04-27,7795.601074
2020-04-28,7807.058594
2020-04-29,8801.038086
2020-04-30,8658.553711
2020-05-01,8864.766602
2020-05-02,8988.59668
2020-05-03,8897.46875
2020-05-04,8912.654297
2020-05-05,9003.070313
2020-05-06,9268.761719
2020-05-07,9951.518555
2020-05-08,9842.666016
2020-05-09,9593.896484
2020-05-10,8756.430664
2020-05-11,8601.795898
2020-05-12,8804.477539
2020-05-13,9269.987305
2020-05-14,9733.72168
2020-05-15,9328.197266
2020-05-16,9377.013672
2020-05-17,9670.739258
2020-05-18,9726.575195
2020-05-19,9729.038086
2020-05-20,9522.981445
2020-05-21,9081.761719
2020-05-22,9182.577148
2020-05-23,9209.287109
2020-05-24,8790.368164
2020-05-25,8906.93457
2020-05-26,8835.052734
2020-05-27,9181.017578
2020-05-28,9525.750977
2020-05-29,9439.124023
2020-05-30,9700.414063
2020-05-31,9461.058594
2020-06-01,10167.26856
2020-06-02,9529.803711
2020-06-03,9656.717773
2020-06-04,9800.636719
2020-06-05,9665.533203
2020-06-06,9653.679688
2020-06-07,9758.852539
2020-06-08,9771.489258
2020-06-09,9795.700195
2020-06-10,9870.094727
2020-06-11,9321.78125
2020-06-12,9480.84375
2020-06-13,9475.277344
2020-06-14,9386.788086
2020-06-15,9450.702148
2020-06-16,9538.024414
2020-06-17,9480.254883
2020-06-18,9411.84082
2020-06-19,9288.018555
2020-06-20,9332.34082
2020-06-21,9303.629883
2020-06-22,9648.717773
2020-06-23,9629.658203
2020-06-24,9313.610352
2020-06-25,9264.813477
2020-06-26,9162.917969
2020-06-27,9045.390625
2020-06-28,9143.582031
2020-06-29,9190.854492
2020-06-30,9137.993164
2020-07-01,9228.325195
2020-07-02,9123.410156
2020-07-03,9087.303711
2020-07-04,9132.488281
2020-07-05,9073.942383
2020-07-06,9375.474609
2020-07-07,9252.277344
2020-07-08,9428.333008
2020-07-09,9277.967773
2020-07-10,9278.807617
2020-07-11,9240.34668
2020-07-12,9276.5
2020-07-13,9243.614258
2020-07-14,9243.213867
2020-07-15,9192.836914
2020-07-16,9132.227539
2020-07-17,9151.392578
2020-07-18,9159.040039
2020-07-19,9185.817383
